,Loan Amount,Loan Term,Town,Country,Sector,Activity,Partner ID,Country Currency,Status,Funded Time
320338,725,22,157,48,13,83,123,77,1,2011.833
381330,675,23,383,36,8,108,82,57,1,2012.2499
184060,700,21,429,15,6,52,53,24,1,2010.3332
78234,400,13,123,3,11,116,68,6,1,2009.0833
183779,400,16,481,8,8,94,70,14,1,2010.3332
131649,1075,36,129,44,6,15,8,70,1,2009.7497
162839,725,17,322,48,6,51,43,77,1,2010.0833
367611,125,4,429,37,6,47,85,59,1,2012.1666
308360,225,7,429,25,11,58,103,40,1,2011.6664
446144,700,19,429,19,11,114,168,32,1,2013.4165
410807,250,7,429,25,11,124,103,40,1,2012.4998
209826,400,16,317,33,6,14,83,52,1,2010.6664
250410,250,9,84,30,0,74,92,47,1,2011.0833
337802,1725,61,545,31,8,94,27,49,1,2011.9163
347104,175,7,252,48,6,14,123,77,1,2011.9163
173296,150,5,110,33,11,116,49,52,1,2010.3332
421102,225,5,265,43,12,120,66,68,1,2012.6664
28153,200,8,295,34,6,54,39,54,1,2007.9996
136340,525,20,425,36,0,2,47,57,1,2009.833
60216,525,20,10,40,6,18,69,64,1,2008.7497
207178,125,5,275,25,6,47,17,40,1,2010.5831
159068,675,25,360,25,12,126,99,40,1,2010.0833
324723,675,21,513,37,6,52,106,59,1,2011.833
145294,300,10,429,37,0,46,86,59,1,2009.9163
251968,375,12,85,36,6,109,46,57,1,2011.0833
114635,500,19,312,41,11,124,37,65,1,2009.4998
345581,1200,42,299,33,1,34,134,53,1,2011.9996
419005,500,17,429,38,6,51,121,60,1,2012.6664
216401,575,15,299,33,11,116,62,52,1,2010.7497
52205,150,1,239,8,6,15,7,14,1,2008.5831
256257,200,8,491,37,0,0,87,59,1,2011.0833
94889,400,10,572,43,0,0,41,68,1,2009.3332
353027,350,13,40,37,6,48,106,59,1,2011.9996
213753,800,20,429,8,12,112,7,14,1,2010.6664
228164,750,27,368,25,2,27,95,40,1,2010.833
51135,850,25,401,34,6,60,39,54,1,2008.5831
364752,2100,37,429,28,3,30,78,45,1,2012.1666
259812,450,18,92,36,11,116,82,57,1,2011.1666
388612,525,17,429,18,2,27,63,29,1,2012.3332
229770,1000,32,239,8,0,2,7,14,1,2010.833
374202,750,26,85,36,11,90,82,57,1,2012.1666
425759,1200,45,503,8,6,54,7,14,1,2012.7497
307215,525,11,429,38,6,50,121,60,1,2011.5831
283915,400,3,146,17,2,27,59,27,1,2011.4165
381918,125,5,461,37,11,116,87,59,1,2012.2499
252164,725,27,302,36,6,60,46,57,1,2011.0833
155674,700,23,429,31,9,56,79,49,1,2009.9996
22140,500,19,499,8,13,83,40,13,1,2007.9163
296586,225,8,301,25,2,27,124,40,1,2011.4998
109191,125,5,395,37,11,58,88,59,1,2009.4165
181799,200,7,505,37,11,58,90,59,1,2010.3332
367570,200,7,429,37,0,103,85,59,1,2012.1666
186989,775,25,299,33,11,116,62,52,1,2010.4165
292510,100,1,429,30,11,116,92,47,1,2011.4998
400834,2000,64,168,43,0,0,66,69,1,2012.4998
157061,225,8,123,3,6,52,68,6,1,2009.9996
24731,50,1,429,21,11,33,28,36,1,2007.9163
187952,575,3,429,37,11,58,85,59,1,2010.4998
107231,650,23,429,37,0,74,88,59,1,2009.4165
42612,1025,36,231,0,6,60,23,0,1,2008.3332
3856,375,11,173,14,11,33,5,23,1,2007.1666
246005,475,17,278,27,0,19,96,43,1,2010.9996
337014,225,8,399,36,6,53,46,57,1,2011.9163
409207,850,31,429,39,0,46,10,62,1,2012.4998
120913,2200,73,429,43,6,51,66,69,1,2009.6664
223500,875,30,429,38,12,119,80,60,1,2010.833
95162,2000,66,532,28,12,4,51,45,1,2009.3332
103150,500,9,429,8,0,105,73,13,1,2009.4165
210329,1200,46,118,4,0,35,101,8,1,2010.6664
35422,150,6,129,44,6,52,67,70,1,2008.1666
268974,250,10,273,25,12,141,124,40,1,2011.2499
219099,600,14,293,4,0,19,33,8,1,2010.7497
29324,300,8,429,39,0,46,10,62,1,2008.0833
58088,250,10,498,40,12,28,72,64,1,2008.6664
108294,700,26,299,33,11,116,62,52,1,2009.4998
387919,1000,34,429,8,0,45,70,14,1,2012.3332
80148,275,10,429,39,0,46,10,62,1,2009.0833
31990,450,15,354,44,6,47,58,70,1,2008.1666
121399,675,23,429,17,12,8,57,27,1,2009.6664
378356,525,18,429,8,0,46,153,13,1,2012.2499
380708,900,36,429,38,0,46,121,60,1,2012.2499
296510,475,19,492,37,0,46,87,59,1,2011.4998
431672,1200,41,338,14,6,60,98,23,1,2012.833
161140,1675,57,129,44,11,25,56,70,1,2010.1666
31890,1000,20,239,8,6,54,7,14,1,2008.0833
67683,350,14,429,36,11,116,47,57,1,2008.833
39053,1050,27,68,32,11,58,16,50,1,2008.2499
238083,625,16,312,41,6,52,37,65,1,2010.9996
199012,375,12,85,36,3,17,82,57,1,2010.5831
104712,1200,39,429,4,0,35,33,8,1,2009.4165
292855,550,20,508,36,0,0,104,57,1,2011.5831
291092,1000,36,409,8,10,137,40,14,1,2011.4998
159558,600,13,429,39,6,53,10,62,1,2010.0833
320284,900,34,419,14,1,34,98,23,1,2011.7497
224472,475,18,429,33,8,94,49,52,1,2010.833
45758,700,23,45,8,12,126,70,14,1,2008.4165
313748,2300,75,429,43,11,116,66,69,1,2011.7497
218754,375,13,368,25,0,46,95,40,1,2010.7497
436845,350,7,501,37,11,96,105,59,1,2012.9163
9946,175,3,429,25,12,126,24,41,1,2007.4165
398371,700,20,369,37,11,58,106,59,1,2012.4998
440089,2475,83,429,40,11,116,69,64,1,2012.9996
168480,6000,202,429,49,12,140,94,79,1,2010.1666
236706,550,22,128,20,6,60,81,33,1,2010.9163
412336,175,4,531,37,0,46,87,59,1,2012.4998
46400,975,17,429,4,10,97,48,8,1,2008.4165
349474,600,20,172,14,0,103,119,23,1,2011.9996
409432,250,6,275,25,6,115,99,40,1,2012.4998
18917,325,9,559,34,0,74,39,55,1,2007.833
347711,575,21,429,37,0,0,85,59,1,2011.9996
396569,1725,49,429,34,13,117,39,54,1,2012.4165
196656,800,32,503,8,6,52,7,14,1,2010.4998
214734,450,10,405,37,11,58,105,59,1,2010.6664
356466,300,11,12,46,11,116,75,75,1,2012.0833
260895,950,27,275,25,13,83,95,40,1,2011.2499
216806,1200,36,429,28,2,26,78,45,1,2010.7497
241302,425,15,200,46,11,69,75,75,1,2010.9996
253219,975,37,313,41,6,51,109,65,1,2011.0833
382072,750,28,429,43,0,46,66,68,1,2012.2499
400593,2000,71,429,28,11,116,78,44,1,2012.4998
187046,75,3,89,37,6,115,97,59,1,2010.3332
351728,625,25,429,40,11,90,72,64,1,2011.9996
321190,1500,48,429,22,12,76,125,37,1,2011.833
220528,300,12,146,17,12,120,59,27,1,2010.833
240235,550,18,184,36,13,83,46,57,1,2010.9996
414510,300,12,252,48,11,116,123,77,1,2012.5831
